year,month,date,cloud_cover,product_id,product_name
2023,9,2023-09-08,0.123248,ae5055ff-8473-4ac4-a17d-0da5bfa8f474,S2B_MSIL2A_20230908T101559_N0510_R065_T32TNQ_20241023T202405.SAFE
2023,9,2023-09-10,0.0014,4965ae2b-2e71-4661-a46b-08023c0a5c91,S2A_MSIL2A_20230910T100601_N0511_R022_T32TNQ_20250805T221431.SAFE
2023,9,2023-09-25,0.865896,42798389-52a4-4a79-bc07-fa845d9e72f6,S2B_MSIL2A_20230925T100649_N0510_R022_T32TNQ_20241026T081605.SAFE
2024,6,2024-06-01,6.21023,a0723315-43eb-4c64-9d7b-9d35df4243be,S2B_MSIL2A_20240601T100559_N0510_R022_T32TNQ_20240601T125555.SAFE
2024,6,2024-06-19,7.754397,9f028c1b-0bce-4ea9-ae4d-fc5299cf3d68,S2A_MSIL2A_20240619T102031_N0510_R065_T32TNQ_20240619T161551.SAFE
2024,7,2024-07-11,0.00674,4d235683-5ee3-445b-956d-5d8f8df4ce1b,S2B_MSIL2A_20240711T100559_N0510_R022_T32TNQ_20240711T142740.SAFE
2024,7,2024-07-16,0.951487,be975974-e8d5-49d6-ad1d-50d6059627fd,S2A_MSIL2A_20240716T100601_N0510_R022_T32TNQ_20240716T160254.SAFE
2024,7,2024-07-21,6.101218,bb5a294d-984a-469b-8194-c275a4e8c499,S2B_MSIL2A_20240721T100559_N0510_R022_T32TNQ_20240721T125344.SAFE
2024,7,2024-07-29,2.519696,4bfbce74-9a18-49be-a6a0-3b6411e3be60,S2A_MSIL2A_20240729T102021_N0511_R065_T32TNQ_20240729T194952.SAFE
2024,8,2024-08-13,1.220719,f568d00a-9e7a-4cb2-98a5-e93f07a11b33,S2B_MSIL2A_20240813T101559_N0511_R065_T32TNQ_20240813T133715.SAFE
2024,8,2024-08-23,2.517613,f342f313-2122-40c4-a0f1-6c4f3d66c21b,S2B_MSIL2A_20240823T101559_N0511_R065_T32TNQ_20240823T145151.SAFE
2024,8,2024-08-25,4.912538,ae9eb375-0f64-4fd8-b4ef-225009467d0f,S2A_MSIL2A_20240825T100551_N0511_R022_T32TNQ_20240825T162201.SAFE
2024,9,2024-09-07,14.692725,ebf5d252-69d6-4758-a363-5818d6c3ed09,S2A_MSIL2A_20240907T102021_N0511_R065_T32TNQ_20240907T162150.SAFE
2024,9,2024-09-09,13.85216,52865b32-07bf-4ec4-b070-5931f53eac2d,S2B_MSIL2A_20240909T100559_N0511_R022_T32TNQ_20240909T134240.SAFE
2024,9,2024-09-29,15.00714,a5efef43-8ef8-432e-96a3-cfcd8a2b0d1d,S2B_MSIL2A_20240929T100719_N0511_R022_T32TNQ_20240929T133706.SAFE
2025,6,2025-06-13,1.171935,4725eb1a-94b3-460d-9191-de9459993feb,S2A_MSIL2A_20250613T100701_N0511_R022_T32TNQ_20250613T121215.SAFE
2025,6,2025-06-19,0.088298,1d619f2b-8dd4-4a39-b248-1cb180ee1b87,S2B_MSIL2A_20250619T101559_N0511_R065_T32TNQ_20250619T132744.SAFE
2025,6,2025-06-26,0.437427,de01b5e9-36c4-46be-b949-d052fb6cc730,S2A_MSIL2A_20250626T101701_N0511_R065_T32TNQ_20250626T142217.SAFE
2025,7,2025-07-09,0.027419,e879edac-d8c8-44fc-b2c9-4da45aa6656c,S2B_MSIL2A_20250709T101559_N0511_R065_T32TNQ_20250709T174549.SAFE
2025,7,2025-07-11,4.408705,c0c5584b-6853-435a-a6db-85b0037552c2,S2C_MSIL2A_20250711T101051_N0511_R022_T32TNQ_20250711T155213.SAFE
2025,7,2025-07-29,4.937332,bc26d96e-221a-44da-b03e-c8ff83ae5b59,S2B_MSIL2A_20250729T101559_N0511_R065_T32TNQ_20250729T142051.SAFE
2025,8,2025-08-05,0.926825,da423ec6-2165-4b8f-a470-eb0c3428df3d,S2B_MSIL2A_20250805T100559_N0511_R022_T32TNQ_20250805T141708.SAFE
2025,8,2025-08-08,1.56818,c1b59c2a-9ef6-4dfb-a432-f61023aeff38,S2B_MSIL2A_20250808T101559_N0511_R065_T32TNQ_20250808T142623.SAFE
2025,8,2025-08-12,1.04867,32609713-d93e-4a01-b0fd-421795fe33a8,S2A_MSIL2A_20250812T100701_N0511_R022_T32TNQ_20250812T120012.SAFE
2025,9,2025-09-19,0.002134,e10aa6f9-f556-45ef-834f-3070bef1f29a,S2C_MSIL2A_20250919T101041_N0511_R022_T32TNQ_20250919T155120.SAFE
2025,9,2025-09-21,0.072037,7c01ed3b-ad43-4b3c-8394-deb00a89120c,S2A_MSIL2A_20250921T100731_N0511_R022_T32TNQ_20250921T121857.SAFE
2025,9,2025-09-29,1.945493,1630244b-c7e2-4931-aca1-1b6d3288b1a3,S2C_MSIL2A_20250929T100821_N0511_R022_T32TNQ_20250929T155516.SAFE
